@relation 'Final_Train_Data_Weka-weka.filters.unsupervised.attribute.NumericToNominal-R3-5,10'

@attribute NEIGHBORHOOD {ARROCHAR,'ARROCHAR-SHORE ACRES',CONCORD,'CONCORD-FOX HILLS','DONGAN HILLS','DONGAN HILLS-COLONY','DONGAN HILLS-OLD TOWN','GRANT CITY',GRASMERE,'GREAT KILLS','GREAT KILLS-BAY TERRACE','GRYMES HILL','MIDLAND BEACH','NEW DORP','NEW DORP-BEACH','NEW DORP-HEIGHTS',OAKWOOD,OAKWOOD-BEACH,RICHMONDTOWN,'RICHMONDTOWN-LIGHTHS HILL',ROSEBANK,'SOUTH BEACH',STAPLETON,STAPLETON-CLIFTON,TOMPKINSVILLE,'TODT HILL'}
@attribute 'BUILDING CLASS CATEGORY' {'01 ONE FAMILY DWELLINGS','02 TWO FAMILY DWELLINGS'}
@attribute BLOCK {512,515,516,521,524,527,529,530,532,541,560,561,562,563,565,568,579,586,614,618,622,626,631,638,643,647,648,835,839,848,849,855,856,858,869,885,895,899,939,942,944,945,948,949,950,951,2248,2260,2270,2271,2277,2279,2281,2284,2287,2288,2306,2829,2834,2836,2837,2839,2840,2844,2848,2853,2854,2855,2856,2857,2859,2861,2866,2867,2873,2876,2879,2882,2897,2899,2902,2908,2912,2915,2922,2925,2930,2966,2969,2970,2973,2975,2982,2983,2985,2989,2993,3003,3004,3019,3023,3024,3034,3036,3038,3065,3066,3070,3072,3073,3075,3099,3102,3103,3104,3105,3106,3110,3111,3116,3121,3122,3123,3124,3155,3159,3163,3165,3167,3169,3171,3176,3183,3184,3191,3209,3221,3226,3228,3234,3237,3246,3249,3250,3251,3252,3254,3255,3268,3269,3270,3271,3272,3276,3277,3282,3284,3285,3293,3294,3295,3296,3301,3306,3315,3316,3317,3320,3321,3325,3331,3332,3333,3337,3343,3345,3348,3354,3361,3362,3371,3373,3375,3378,3379,3390,3391,3394,3395,3398,3400,3401,3406,3420,3478,3481,3491,3500,3530,3531,3535,3539,3540,3552,3553,3558,3560,3563,3565,3570,3571,3572,3573,3575,3577,3579,3583,3586,3589,3591,3594,3595,3598,3599,3604,3606,3608,3609,3610,3613,3616,3617,3620,3626,3628,3629,3633,3634,3635,3640,3641,3643,3646,3650,3651,3652,3655,3659,3660,3661,3667,3669,3673,3674,3679,3681,3682,3684,3685,3686,3687,3689,3698,3703,3707,3708,3709,3711,3712,3716,3717,3718,3721,3722,3728,3729,3730,3733,3734,3735,3739,3740,3744,3746,3791,3797,3798,3800,3804,3805,3808,3809,3810,3814,3815,3817,3818,3819,3821,3873,3882,3885,3887,3888,3960,4000,4017,4018,4019,4027,4029,4030,4031,4033,4041,4043,4046,4047,4049,4050,4051,4052,4054,4057,4058,4063,4064,4066,4068,4069,4071,4073,4074,4078,4083,4085,4087,4088,4089,4091,4093,4130,4131,4194,4197,4198,4202,4212,4213,4219,4220,4221,4223,4226,4228,4229,4233,4237,4239,4240,4245,4247,4248,4250,4253,4254,4262,4265,4267,4271,4273,4278,4289,4290,4298,4299,4300,4302,4305,4306,4310,4311,4315,4316,4327,4328,4332,4342,4343,4344,4347,4349,4359,4363,4369,4378,4394,4399,4400,4405,4411,4416,4420,4421,4431,4435,4436,4447,4465,4466,4467,4468,4474,4476,4477,4478,4645,4656,4657,4659,4661,4669,4672,4673,4674,4675,4676,4678,4679,4680,4682,4683,4684,4696,4697,4698,4705,4706,4708,4710,4712,4713,4716,4717,4719,4720,4723,4726,4728,4961,4972,4973,4975,5016,5018,5019,5020,5022,5023,5024,5025,5026,5027,5028,5030,5090,5093,5101,5103}
@attribute LOT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,76,77,78,79,81,82,84,86,87,88,89,90,92,93,94,96,97,99,100,104,106,107,108,110,112,115,116,117,120,121,123,126,128,132,133,136,140,141,142,143,144,145,150,152,156,157,158,163,165,168,170,172,173,177,183,188,189,195,199,202,212,217,226,233,235,255,257,260,266,267,274,277,278,302,315,338,364,368,373,382,403,405,407,410,412,415,417,430,432,434,436,445,451,473,476,478,488,566,601,615,618,620,652,737,769,828,908}
@attribute 'ZIP CODE' {10304,10305,10306}
@attribute 'RESIDENTIAL UNITS' numeric
@attribute 'COMMERCIAL UNITS' numeric
@attribute 'LAND SQUARE FEET' numeric
@attribute 'GROSS SQUARE FEET' numeric
@attribute 'YEAR BUILT' {1845,1899,1901,1905,1910,1915,1920,1925,1930,1931,1932,1935,1940,1945,1950,1955,1960,1963,1965,1966,1970,1972,1975,1976,1977,1978,1979,1980,1981,1982,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020}
@attribute 'BUILDING CLASS AT TIME OF SALE' {A2,A5,A1,B2,B1,A0,S2,B3,A3,B9,A9,A6,S1}
@attribute 'SALE PRICE ' {'Over Budget','Within Budget'}
@attribute 'SALE DATE' {Autumn,Spring,Summer,Winter}

@data
'DONGAN HILLS','01 ONE FAMILY DWELLINGS',3285,132,10304,1,0,4334,2440,1999,A3,'Over Budget',Autumn
'DONGAN HILLS','01 ONE FAMILY DWELLINGS',3293,28,10304,1,0,7560,1350,1945,A1,'Over Budget',Autumn
'DONGAN HILLS','01 ONE FAMILY DWELLINGS',3294,34,10304,1,0,4000,2323,1915,A1,'Within Budget',Summer
'DONGAN HILLS','01 ONE FAMILY DWELLINGS',3295,16,10304,1,0,5000,962,1955,A2,'Within Budget',Autumn
'DONGAN HILLS','01 ONE FAMILY DWELLINGS',3315,19,10304,1,0,3830,864,1950,A2,'Within Budget',Autumn
'DONGAN HILLS','01 ONE FAMILY DWELLINGS',3315,25,10304,1,0,4025,702,1950,A2,'Within Budget',Summer
'DONGAN HILLS','01 ONE FAMILY DWELLINGS',3320,19,10304,1,0,5500,1580,1920,A1,'Within Budget',Autumn
'DONGAN HILLS','01 ONE FAMILY DWELLINGS',3320,57,10304,1,0,4500,1200,1950,A2,'Over Budget',Summer
'DONGAN HILLS','01 ONE FAMILY DWELLINGS',3325,71,10305,1,0,2860,1440,2013,A5,'Within Budget',Winter
'DONGAN HILLS','01 ONE FAMILY DWELLINGS',3331,35,10305,1,0,5000,1120,1950,A2,'Within Budget',Autumn
'DONGAN HILLS','01 ONE FAMILY DWELLINGS',3332,5,10305,1,0,2500,1408,1970,A5,'Within Budget',Winter
'DONGAN HILLS','01 ONE FAMILY DWELLINGS',3333,52,10305,1,0,7500,1020,1899,A1,'Over Budget',Autumn
'DONGAN HILLS','01 ONE FAMILY DWELLINGS',3337,42,10305,0,0,4042,0,1920,A2,'Within Budget',Summer
'DONGAN HILLS','02 TWO FAMILY DWELLINGS',3315,69,10304,2,0,3500,3495,2019,B2,'Over Budget',Summer
'DONGAN HILLS','02 TWO FAMILY DWELLINGS',3316,50,10304,2,0,4950,1808,1950,B2,'Over Budget',Autumn
'DONGAN HILLS','02 TWO FAMILY DWELLINGS',3317,51,10304,2,0,5000,1392,1920,B2,'Over Budget',Summer
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',835,3,10304,1,0,3895,960,1955,A2,'Within Budget',Winter
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',835,202,10304,1,0,6360,1872,1960,A2,'Over Budget',Spring
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',835,368,10304,1,0,4100,2093,1965,A1,'Over Budget',Winter
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',839,37,10304,1,0,6150,888,1960,A2,'Within Budget',Spring
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',848,31,10304,1,0,6588,1144,1955,A2,'Within Budget',Summer
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',848,87,10304,1,0,6000,1890,1965,A1,'Over Budget',Autumn
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',848,382,10304,1,0,5250,1911,1965,A2,'Over Budget',Winter
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',849,274,10304,1,0,5400,1548,1925,A2,'Within Budget',Autumn
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',855,59,10304,1,0,7500,2732,1955,A1,'Over Budget',Autumn
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',856,1,10304,1,0,7070,1040,1960,A2,'Over Budget',Autumn
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',858,104,10304,1,0,4278,1440,1963,A1,'Within Budget',Summer
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',869,488,10304,1,0,4000,1040,1930,A0,'Over Budget',Autumn
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',869,566,10304,1,0,4700,1976,1960,A1,'Over Budget',Autumn
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',869,769,10304,1,0,6000,2323,1955,A1,'Over Budget',Autumn
'DONGAN HILLS-COLONY','01 ONE FAMILY DWELLINGS',869,828,10304,1,0,4000,1756,1930,A1,'Within Budget',Summer
'DONGAN HILLS-COLONY','02 TWO FAMILY DWELLINGS',869,737,10304,2,0,4000,1806,1920,B3,'Within Budget',Summer
'DONGAN HILLS-OLD TOWN','01 ONE FAMILY DWELLINGS',3221,116,10305,1,0,1710,1080,1986,A5,'Within Budget',Summer
'GRANT CITY','01 ONE FAMILY DWELLINGS',895,57,10306,1,0,7762,1960,2007,A3,'Over Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',899,64,10304,1,0,4182,2132,1930,A1,'Over Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',3306,50,10304,1,0,1260,1864,1988,A5,'Within Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',3343,26,10305,1,0,4550,768,1955,A2,'Within Budget',Winter
'GRANT CITY','01 ONE FAMILY DWELLINGS',3530,81,10304,1,0,3173,1280,1980,A5,'Within Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',3530,86,10304,1,0,2938,1280,1980,A5,'Within Budget',Winter
'GRANT CITY','01 ONE FAMILY DWELLINGS',3531,90,10304,1,0,2682,1320,1960,A5,'Within Budget',Spring
'GRANT CITY','01 ONE FAMILY DWELLINGS',3539,79,10305,1,0,1840,912,1965,A5,'Within Budget',Spring
'GRANT CITY','01 ONE FAMILY DWELLINGS',3552,93,10306,1,0,5150,792,1965,A2,'Within Budget',Spring
'GRANT CITY','01 ONE FAMILY DWELLINGS',3558,28,10306,1,0,4392,1800,1950,A1,'Over Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',3558,35,10306,1,0,4000,880,1935,A0,'Within Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',3560,11,10306,1,0,4000,968,1960,A2,'Within Budget',Summer
'GRANT CITY','01 ONE FAMILY DWELLINGS',3565,9,10306,1,0,4000,925,1945,A2,'Within Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',3570,34,10306,1,0,6000,1194,1930,A2,'Within Budget',Winter
'GRANT CITY','01 ONE FAMILY DWELLINGS',3571,12,10306,1,0,3000,1020,1930,A2,'Within Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',3571,62,10306,1,0,8000,1120,1950,A2,'Over Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',3573,12,10306,1,0,6765,1451,1965,A2,'Over Budget',Summer
'GRANT CITY','01 ONE FAMILY DWELLINGS',3573,38,10306,1,0,4000,1300,1955,A1,'Over Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',3575,9,10306,1,0,4000,1232,1970,A1,'Within Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',3575,23,10306,1,0,960,1240,1987,A5,'Within Budget',Winter
'GRANT CITY','01 ONE FAMILY DWELLINGS',3577,19,10306,1,0,6336,896,1930,A1,'Within Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',3577,51,10306,1,0,2500,1320,1965,A5,'Within Budget',Winter
'GRANT CITY','01 ONE FAMILY DWELLINGS',3577,53,10306,1,0,2500,1320,1965,A5,'Within Budget',Summer
'GRANT CITY','01 ONE FAMILY DWELLINGS',3583,37,10306,1,0,3250,1320,1925,A1,'Within Budget',Winter
'GRANT CITY','01 ONE FAMILY DWELLINGS',3586,30,10306,1,0,1170,1300,1989,A5,'Within Budget',Winter
'GRANT CITY','01 ONE FAMILY DWELLINGS',3589,25,10306,1,0,4810,972,1920,A1,'Within Budget',Spring
'GRANT CITY','01 ONE FAMILY DWELLINGS',3591,19,10306,1,0,2100,1440,1930,A5,'Within Budget',Winter
'GRANT CITY','01 ONE FAMILY DWELLINGS',3595,4,10306,1,0,7500,2150,1930,A1,'Over Budget',Winter
'GRANT CITY','01 ONE FAMILY DWELLINGS',3595,57,10306,1,0,3000,1500,2004,A1,'Over Budget',Summer
'GRANT CITY','01 ONE FAMILY DWELLINGS',3604,51,10306,1,0,1900,960,1977,A5,'Within Budget',Summer
'GRANT CITY','01 ONE FAMILY DWELLINGS',3608,20,10306,1,0,4000,1372,1935,A1,'Within Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',3609,12,10306,1,0,2016,1200,1981,A5,'Within Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',3613,3,10306,1,0,3458,960,1960,A2,'Within Budget',Autumn
'GRANT CITY','01 ONE FAMILY DWELLINGS',3613,20,10306,1,0,5700,1181,1955,A0,'Within Budget',Summer
'GRANT CITY','02 TWO FAMILY DWELLINGS',3345,11,10305,2,0,4550,1570,1905,B3,'Over Budget',Autumn
'GRANT CITY','02 TWO FAMILY DWELLINGS',3345,45,10305,2,0,3750,2152,1999,B2,'Over Budget',Autumn
'GRANT CITY','02 TWO FAMILY DWELLINGS',3535,74,10306,2,0,7422,1545,1950,B1,'Over Budget',Summer
'GRANT CITY','02 TWO FAMILY DWELLINGS',3539,39,10305,2,0,3440,960,1960,B3,'Over Budget',Autumn
'GRANT CITY','02 TWO FAMILY DWELLINGS',3540,8,10305,2,0,2400,2160,1976,B2,'Over Budget',Autumn
'GRANT CITY','02 TWO FAMILY DWELLINGS',3540,9,10305,2,0,2280,2160,1976,B2,'Within Budget',Spring
'GRANT CITY','02 TWO FAMILY DWELLINGS',3553,15,10306,2,0,4850,4089,1925,B2,'Over Budget',Autumn
'GRANT CITY','02 TWO FAMILY DWELLINGS',3563,52,10306,2,0,3000,1680,2001,B9,'Within Budget',Summer
'GRANT CITY','02 TWO FAMILY DWELLINGS',3571,8,10306,2,0,6000,3500,2019,B2,'Over Budget',Winter
'GRANT CITY','02 TWO FAMILY DWELLINGS',3579,32,10306,2,0,5200,1888,1901,B2,'Over Budget',Autumn
'GRANT CITY','02 TWO FAMILY DWELLINGS',3594,48,10306,2,0,3900,1734,1920,B3,'Over Budget',Spring
'GRANT CITY','02 TWO FAMILY DWELLINGS',3595,16,10306,2,0,5000,2696,1930,B2,'Within Budget',Winter
GRASMERE,'01 ONE FAMILY DWELLINGS',2915,126,10304,1,0,1400,1396,1991,A5,'Within Budget',Spring
GRASMERE,'01 ONE FAMILY DWELLINGS',3065,5,10305,1,0,3870,1728,2003,A1,'Over Budget',Summer
GRASMERE,'01 ONE FAMILY DWELLINGS',3065,14,10305,1,0,3600,1800,2000,A1,'Over Budget',Summer
GRASMERE,'01 ONE FAMILY DWELLINGS',3155,20,10304,1,0,2375,1260,1960,A9,'Within Budget',Summer
GRASMERE,'01 ONE FAMILY DWELLINGS',3155,72,10304,1,0,2200,1230,1960,A9,'Within Budget',Autumn
GRASMERE,'01 ONE FAMILY DWELLINGS',3159,52,10304,1,0,3920,1150,1950,A2,'Over Budget',Autumn
GRASMERE,'01 ONE FAMILY DWELLINGS',3163,16,10304,1,0,1750,1600,2005,A5,'Within Budget',Winter
GRASMERE,'01 ONE FAMILY DWELLINGS',3165,9,10305,1,0,3500,684,1920,A2,'Within Budget',Summer
GRASMERE,'01 ONE FAMILY DWELLINGS',3165,9,10305,1,0,3500,684,1920,A2,'Within Budget',Spring
GRASMERE,'01 ONE FAMILY DWELLINGS',3167,4,10304,1,0,2378,1879,2019,A5,'Over Budget',Autumn
GRASMERE,'01 ONE FAMILY DWELLINGS',3167,7,10304,1,0,2415,1922,2019,A5,'Over Budget',Autumn
GRASMERE,'01 ONE FAMILY DWELLINGS',3169,18,10304,1,0,2525,1110,1965,A9,'Within Budget',Autumn
GRASMERE,'01 ONE FAMILY DWELLINGS',3171,144,10304,1,0,2500,1825,1986,A9,'Over Budget',Summer
GRASMERE,'01 ONE FAMILY DWELLINGS',3176,37,10304,1,0,1190,1350,1988,A5,'Within Budget',Spring
GRASMERE,'01 ONE FAMILY DWELLINGS',3176,104,10304,1,0,2130,1488,1999,A5,'Within Budget',Summer
GRASMERE,'01 ONE FAMILY DWELLINGS',3209,34,10305,1,0,3880,3313,1925,A1,'Over Budget',Autumn
GRASMERE,'01 ONE FAMILY DWELLINGS',3226,15,10305,1,0,4100,2022,1980,A1,'Over Budget',Spring
